ID,Nombre,Universidad,ID Universidad,Campus,ID Campus,Acreditación,Vacantes,Cant. Semestres,Arancel,Área,Horario,Empleabilidad,Ingreso,Admisión,Corte 2017,Corte 2016,Lenguaje,Matemáticas,Historia (Cs. Sociales),Ciencias,NEM,Ranking,Descripción,area_id
1,Actuación Teatral,Universidad de Chile,1,,2,No,23.0,10.0,3540700,Arte y Arquitectura,Diurno,48,700000.0,PSU,"601,16",,30.0,15.0,25.0,0.0,10.0,20.0,"La Licenciatura en Artes con mención en Actuación Teatral de la Universidad de Chile, busca entregar conocimientos generales acerca del pensamiento humano y destrezas propias del arte de la representación, que te permitirán desarrollar habilidades artísticas y/o reflexivas.",3
2,Artes Plásticas,Universidad de Chile,1,,2,No,80.0,10.0,2547000,Arte y Arquitectura,Diurno,48,700000.0,,"616,15",,35.0,10.0,25.0,0.0,10.0,20.0,"El egresado de la carrera Licenciatura en Artes con mención en Artes Plásticas de la Universidad de Chile, es un profesional capaz de formular propuestas de creación e investigación en las áreas de las artes visuales.",3
3,Diseño Teatral,Universidad de Chile,1,,2,No,23.0,10.0,2547000,Arte y Arquitectura,Diurno,"77,6",900000.0,,"601,15",,20.0,20.0,25.0,0.0,10.0,20.0,"La carrera Licenciatura en Artes con mención en Diseño Teatral de la Universidad de Chile, entrega a sus estudiantes un conocimiento integral de las artes de la visualidad teatral, con énfasis en elementos de escenografía, vestuario, iluminación, utilería y maquillaje.",3
4,Ingeniería en Sonido,Universidad de Chile,1,,2,No,24.0,10.0,3183700,Arte y Arquitectura,Diurno,,,,"638,6",,20.0,35.0,0.0,15.0,10.0,20.0,"El Perfil de Egreso señala que el/la egresado/a de Ingeniería en Sonido de la Universidad de Chile es un/a profesional que posee una formación transdisciplinaria: artística, científica, y tecnológica con una mirada amplia y unificadora que le permite comprender, intervenir, transformar, crear, generar proyectos y gestionar a nivel fundamental el fenómeno sonoro en las áreas de realidad y abstracción",3
5,Teoría de la Música,Universidad de Chile,1,,7,No,18.0,12.0,2547000,Arte y Arquitectura,Diurno,,,,"663,95",,25.0,20.0,25.0,0.0,10.0,20.0,"Los egresados están habilitados para comprender amplia y críticamente el fenómeno musical desde una perspectiva pluralista y a partir de la vivencia de su práctica, en las distintas dimensiones que le son pertinentes en contextos socioculturales determinados. Asimismo, cuentan con una preparación cimentada en la vivencia de la práctica de la creación y la ejecución musical como ámbito fundamental en el desarrollo disciplinar.",3
6,Teoría e Historia del Arte,Universidad de Chile,1,,1,No,45.0,8.0,2794000,Arte y Arquitectura,Diurno,,,,"601,1",,35.0,10.0,25.0,0.0,10.0,20.0,"El egresado de la carrera Licenciatura en Artes con mención en Teoría e Historia del Arte de la Universidad de Chile, es un profesional con sensibilidad para el manejo de vinculaciones entre el discurso y la representación visual.",3
7,Programa Académico Bachillerato,Universidad de Chile,1,,2,No,300.0,4.0,3654000,Ciencias Básicas,Diurno,,,,669,,25.0,25.0,10.0,10.0,20.0,20.0,"El Programa Académico de Bachillerato de la Universidad de Chile, comprende disciplinas básicas comunes a las diferentes áreas del conocimiento y específicas de las carreras que ofrece la Universidad.",4
8,Arquitectura,Universidad de Chile,1,,3,Si,216.0,12.0,3584100,Arte y Arquitectura,Diurno,"91,5",1300000.0,,"655,2",,20.0,30.0,10.0,10.0,20.0,20.0,"La carrera de Arquitectura de la Universidad de Chile tiene como objetivo desarrollar en los estudiantes, a través de un proceso pedagógico continuo, progresivo y sistemático, la capacidad de adquirir los conocimientos y habilidades que la disciplina y el medio les requiera. Permitir el desarrollo de su potencial intelectual y estimular su capacidad de reflexión, análisis y creatividad.",3
9,Diseño,Universidad de Chile,1,,3,Si,136.0,10.0,3584100,Arte y Arquitectura,Diurno,"77,6",900000.0,,"609,7",,25.0,25.0,10.0,10.0,20.0,20.0,"El egresado de la carrera Diseño, Gráfico o Industrial de la Universidad de Chile, es un profesional con la capacidad de crear y desarrollar proyectos de uso masivo, industrial, de desarrollo en serie.",3
10,Geografía,Universidad de Chile,1,,3,Si,58.0,10.0,2985000,Humanidades,Diurno,87,1200000.0,,"620,4",,20.0,20.0,20.0,20.0,20.0,20.0,"El egresado de la carrera de Geografía de la Universidad de Chile, es un profesional que cuenta con la capacidad científica de análisis y síntesis, para generar, coordinar o formar parte de equipos multidisciplinarios, destinados a evaluar las potencialidades y limitaciones del territorio nacional para enfrentar los procesos de desarrollo.",8
